season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,Day
4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,13
3,0,9,0,4,1,2,0.633913,0.555361,0.87,0.192748,8
4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,3
3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,18
3,1,6,0,3,1,1,0.6975,0.640792,0.407083,0.271775,27
2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,17
3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,4
1,0,1,0,5,1,2,0.211304,0.220333,0.498696,0.168726,7
4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,20
1,1,2,0,5,1,1,0.313333,0.309346,0.526667,0.178496,3
3,1,6,0,1,1,1,0.715833,0.654042,0.504167,0.300383,25
4,0,10,0,3,1,2,0.541739,0.513848,0.87,0.243339,19
2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,26
2,1,4,0,5,1,1,0.4575,0.452637,0.407083,0.343287,27
2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,13
4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0783833,8
4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,29
1,0,2,0,5,1,1,0.211304,0.220333,0.506364,0.10855,11
2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,19
1,1,3,0,4,1,1,0.5575,0.532825,0.579583,0.149883,15
1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,26
4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,29
3,0,7,0,4,1,1,0.769167,0.715292,0.583333,0.178479,28
3,1,8,0,2,1,1,0.649167,0.601025,0.67375,0.0783833,21
3,1,8,0,5,1,1,0.723333,0.2424,0.570833,0.231354,17
1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,25
1,1,2,0,5,1,2,0.280833,0.293558,0.54,0.116929,10
1,1,3,0,5,1,2,0.410833,0.397083,0.407083,0.343287,9
2,1,4,0,1,1,1,0.489167,0.476638,0.407083,0.343287,9
1,1,3,0,3,1,1,0.404167,0.3851,0.513333,0.343287,7
3,1,6,0,5,1,1,0.769167,0.715292,0.57375,0.182842,22
2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,21
2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,24
1,0,2,0,1,0,2,0.303333,0.284075,0.605,0.307846,21
2,1,6,0,3,1,1,0.554167,0.542292,0.61125,0.0783833,6
3,1,8,0,3,1,2,0.75,0.707717,0.672917,0.1107,8
4,1,11,0,1,1,2,0.380833,0.375621,0.623333,0.235067,19
4,1,10,0,4,1,1,0.435,0.431167,0.463333,0.181596,11
4,1,9,0,6,0,1,0.5425,0.530296,0.542917,0.227604,29
2,1,6,0,6,0,1,0.710833,0.648367,0.437083,0.144287,9
1,1,1,0,2,1,1,0.211304,0.220333,0.44125,0.343287,3
4,1,11,0,2,1,2,0.374167,0.380667,0.685,0.082725,20
1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,19
2,1,6,0,5,1,1,0.639167,0.599754,0.589583,0.176617,15
1,1,2,0,4,1,2,0.316667,0.330162,0.752917,0.091425,16
